as_of_year,state_abbr,loan_purpose_name,loan_type_name,action_taken_name,count
2007,HI,Home purchase,Conventional,Application approved but not accepted,2095
2007,GA,Refinancing,VA-guaranteed,Loan originated,949
2007,GA,Refinancing,VA-guaranteed,Application denied by financial institution,302
2007,GA,Refinancing,VA-guaranteed,Application approved but not accepted,93
2007,GA,Refinancing,FSA/RHS-guaranteed,Loan originated,11
2007,GA,Refinancing,FSA/RHS-guaranteed,Application denied by financial institution,3
2007,GA,Refinancing,FSA/RHS-guaranteed,Application approved but not accepted,1
2007,GA,Refinancing,FHA-insured,Loan originated,10686
2007,GA,Refinancing,FHA-insured,Application denied by financial institution,5577
2007,GA,Refinancing,FHA-insured,Application approved but not accepted,886
2007,GA,Refinancing,Conventional,Loan originated,142394
2007,GA,Refinancing,Conventional,Application denied by financial institution,130197
2007,HI,Refinancing,VA-guaranteed,Application denied by financial institution,29
2007,HI,Refinancing,VA-guaranteed,Application approved but not accepted,6
2007,HI,Refinancing,FSA/RHS-guaranteed,Application approved but not accepted,1
2007,HI,Refinancing,FHA-insured,Loan originated,296
2007,HI,Refinancing,FHA-insured,Application denied by financial institution,142
2007,HI,Refinancing,FHA-insured,Application approved but not accepted,42
2007,HI,Refinancing,Conventional,Loan originated,19069
2007,HI,Refinancing,Conventional,Application denied by financial institution,11171
2007,HI,Refinancing,Conventional,Application approved but not accepted,4235
2007,HI,Home purchase,VA-guaranteed,Loan originated,730
2007,HI,Home purchase,VA-guaranteed,Application denied by financial institution,88
2007,HI,Home purchase,VA-guaranteed,Application approved but not accepted,18
2007,HI,Home purchase,FSA/RHS-guaranteed,Loan originated,14
2007,HI,Home purchase,FSA/RHS-guaranteed,Application denied by financial institution,5
2007,HI,Home purchase,FSA/RHS-guaranteed,Application approved but not accepted,2
2007,HI,Home purchase,FHA-insured,Loan originated,286
2007,IA,Refinancing,Conventional,Loan originated,35053
2007,IA,Refinancing,Conventional,Application denied by financial institution,23420
2007,IA,Refinancing,Conventional,Application approved but not accepted,7375
2007,IA,Home purchase,VA-guaranteed,Loan originated,728
2007,IA,Home purchase,VA-guaranteed,Application denied by financial institution,121
